,Initial Value,Final Value,Total Return,Return Percentage
ucb,100000.0,193880.4488949329,93880.4488949329,93.8804488949329
epsilon_greedy,100000.0,192992.06040145658,92992.06040145658,92.99206040145658
thompson,100000.0,193370.2730004361,93370.27300043611,93.37027300043611
